School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"Tyndall College, Carlow",Co. Carlow,29,100%,28%,1,1,0,0,0,1,1,1,2,0,0,0,0,1,13,0,0,8,0,0,0,0,0,0,0,0,0,0
"Gaelcholáiste Cheatharlach, Askea",Co. Carlow,56,95%,90%,10,3,3,2,2,4,2,0,0,1,4,0,0,0,12,0,0,4,4,0,1,1,0,0,0,0,0,0
"St Leo's College, Carlow",Co. Carlow,153,92%,80%,16,18,9,4,1,9,8,1,3,1,7,1,1,0,32,1,0,15,3,2,1,3,1,3,0,0,0,0
Borris Vocational School,Co. Carlow,75,79%,68%,3,6,2,0,4,5,2,0,0,3,3,0,2,0,10,0,1,14,0,3,0,0,1,0,0,0,0,0
"Coláiste Eoin, Hacketstown",Co. Carlow,28,79%,66%,1,2,0,0,2,3,2,0,0,1,0,0,1,0,6,0,0,3,0,1,0,0,0,0,0,0,0,0
St Mary's Knockbeg College,Co. Carlow,71,77%,81%,8,3,4,5,4,5,5,0,2,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,2,0,0,0
"Presentation De La Salle College, Bagenalstown",Co. Carlow,113,75%,92%,6,8,1,2,3,6,5,0,2,0,2,1,3,0,27,0,1,12,0,5,0,1,0,0,0,0,0,0
"Presentation College, Carlow",Co. Carlow,136,73%,85%,9,7,4,1,4,8,3,0,6,1,3,0,1,2,27,0,0,19,0,1,1,0,0,2,0,0,0,0
"St Mary's Academy CBS, Carlow",Co. Carlow,79,62%,83%,3,3,0,3,1,3,1,0,2,2,1,0,0,1,21,0,0,7,0,0,1,0,0,0,0,0,0,0
Tullow Community School,Co. Carlow,134,62%,54%,3,6,5,0,3,7,4,0,2,2,3,0,1,0,27,0,0,18,0,0,0,0,0,2,0,0,0,0
"Coláiste Aindriú, Bagenalstown",Co. Carlow,12,17%,58%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Royal School, Cavan",Co. Cavan,20,90%,79%,2,5,2,0,0,1,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
